Apache, Franklin Delano Roosevelt, Democratic, 62.49
Cochise, Franklin Delano Roosevelt, Democratic, 69.53
Coconino, Franklin Delano Roosevelt, Democratic, 69.79
Gila, Franklin Delano Roosevelt, Democratic, 68.84
Graham, Franklin Delano Roosevelt, Democratic, 79.09
Greenlee, Franklin Delano Roosevelt, Democratic, 79.73
Maricopa, Franklin Delano Roosevelt, Democratic, 64.59
Mohave, Franklin Delano Roosevelt, Democratic, 72.71
Navajo, Franklin Delano Roosevelt, Democratic, 62.76
Pima, Franklin Delano Roosevelt, Democratic, 62.4
Pinal, Franklin Delano Roosevelt, Democratic, 74.98
Santa Cruz, Franklin Delano Roosevelt, Democratic, 71.06
Yavapai, Franklin Delano Roosevelt, Democratic, 69.2
Yuma, Franklin Delano Roosevelt, Democratic, 71.7
