Adair, Franklin Delano Roosevelt, Democratic, 51.22
Allen, Herbert Clark Hoover, Republican, 50.55
Anderson, Franklin Delano Roosevelt, Democratic, 66.46
Ballard, Franklin Delano Roosevelt, Democratic, 86.98
Barren, Franklin Delano Roosevelt, Democratic, 64.02
Bath, Franklin Delano Roosevelt, Democratic, 64.57
Bell, Franklin Delano Roosevelt, Democratic, 53.27
Boone, Franklin Delano Roosevelt, Democratic, 71.83
Bourbon, Franklin Delano Roosevelt, Democratic, 62.59
Boyd, Franklin Delano Roosevelt, Democratic, 54.19
Boyle, Franklin Delano Roosevelt, Democratic, 66.65
Bracken, Franklin Delano Roosevelt, Democratic, 61.39
Breathitt, Franklin Delano Roosevelt, Democratic, 76.65
Breckinridge, Franklin Delano Roosevelt, Democratic, 53.83
Bullitt, Franklin Delano Roosevelt, Democratic, 72.7
Butler, Herbert Clark Hoover, Republican, 59.71
Caldwell, Franklin Delano Roosevelt, Democratic, 58.96
Calloway, Franklin Delano Roosevelt, Democratic, 88.18
Campbell, Franklin Delano Roosevelt, Democratic, 58.85
Carlisle, Franklin Delano Roosevelt, Democratic, 87.3
Carroll, Franklin Delano Roosevelt, Democratic, 79.45
Carter, Franklin Delano Roosevelt, Democratic, 50.61
Casey, Herbert Clark Hoover, Republican, 58.93
Christian, Franklin Delano Roosevelt, Democratic, 58.96
Clark, Franklin Delano Roosevelt, Democratic, 70.93
Clay, Herbert Clark Hoover, Republican, 61.81
Clinton, Herbert Clark Hoover, Republican, 72.73
Crittenden, Herbert Clark Hoover, Republican, 50.58
Cumberland, Herbert Clark Hoover, Republican, 65.53
Daviess, Franklin Delano Roosevelt, Democratic, 67.12
Edmonson, Herbert Clark Hoover, Republican, 59.79
Elliott, Franklin Delano Roosevelt, Democratic, 84.91
Estill, Franklin Delano Roosevelt, Democratic, 51.34
Fayette, Franklin Delano Roosevelt, Democratic, 56.57
Fleming, Franklin Delano Roosevelt, Democratic, 56.21
Floyd, Franklin Delano Roosevelt, Democratic, 71.22
Franklin, Franklin Delano Roosevelt, Democratic, 75.33
Fulton, Franklin Delano Roosevelt, Democratic, 82.25
Gallatin, Franklin Delano Roosevelt, Democratic, 82.85
Garrard, Franklin Delano Roosevelt, Democratic, 53.14
Grant, Franklin Delano Roosevelt, Democratic, 68.55
Graves, Franklin Delano Roosevelt, Democratic, 84.05
Grayson, Franklin Delano Roosevelt, Democratic, 50.79
Green, Herbert Clark Hoover, Republican, 49.77
