Alcona, Franklin D. Roosevelt, Democratic, 47.99
Alger, Franklin D. Roosevelt, Democratic, 57.21
Allegan, Herbert Hoover, Republican, 54.13
Alpena, Franklin D. Roosevelt, Democratic, 50.84
Antrim, Herbert Hoover, Republican, 55.51
Arenac, Franklin D. Roosevelt, Democratic, 56.9
Baraga, Franklin D. Roosevelt, Democratic, 49.34
Barry, Herbert Hoover, Republican, 49.21
Bay, Franklin D. Roosevelt, Democratic, 58.62
Benzie, Herbert Hoover, Republican, 50.22
Berrien, Franklin D. Roosevelt, Democratic, 55.46
Branch, Franklin D. Roosevelt, Democratic, 53.43
Calhoun, Franklin D. Roosevelt, Democratic, 48.51
Cass, Franklin D. Roosevelt, Democratic, 55.51
Charlevoix, Herbert Hoover, Republican, 49.57
Cheboygan, Franklin D. Roosevelt, Democratic, 59.04
Chippewa, Herbert Hoover, Republican, 54.34
Clare, Franklin D. Roosevelt, Democratic, 52.38
Clinton, Franklin D. Roosevelt, Democratic, 51.74
Crawford, Franklin D. Roosevelt, Democratic, 56.47
Delta, Franklin D. Roosevelt, Democratic, 59.93
Dickinson, Franklin D. Roosevelt, Democratic, 53.88
Eaton, Franklin D. Roosevelt, Democratic, 52.29
Emmet, Franklin D. Roosevelt, Democratic, 49.56
Genesee, Franklin D. Roosevelt, Democratic, 54.8
Gladwin, Franklin D. Roosevelt, Democratic, 52.86
Gogebic, Franklin D. Roosevelt, Democratic, 48.01
Grand Traverse, Franklin D. Roosevelt, Democratic, 51.88
Gratiot, Franklin D. Roosevelt, Democratic, 53.08
Hillsdale, Herbert Hoover, Republican, 49.54
Houghton, Herbert Hoover, Republican, 59.23
Huron, Franklin D. Roosevelt, Democratic, 49.36
Ingham, Franklin D. Roosevelt, Democratic, 50.22
Ionia, Franklin D. Roosevelt, Democratic, 57.58
Iosco, Herbert Hoover, Republican, 49.62
Iron, Herbert Hoover, Republican, 53.56
Isabella, Franklin D. Roosevelt, Democratic, 49.42
Jackson, Franklin D. Roosevelt, Democratic, 49.17
Kalamazoo, Herbert Hoover, Republican, 55.01
Kalkaska, Herbert Hoover, Republican, 47.47
Kent, Herbert Hoover, Republican, 48.64
Keweenaw, Herbert Hoover, Republican, 72.45
Lake, Franklin D. Roosevelt, Democratic, 53.68
Lapeer, Herbert Hoover, Republican, 51.87
Leelanau, Franklin D. Roosevelt, Democratic, 52.7
Lenawee, Herbert Hoover, Republican, 50.5
Livingston, Franklin D. Roosevelt, Democratic, 50.06
Luce, Herbert Hoover, Republican, 56.33
Mackinac, Franklin D. Roosevelt, Democratic, 62.74
Macomb, Franklin D. Roosevelt, Democratic, 63.65
Manistee, Franklin D. Roosevelt, Democratic, 55.14
Marquette, Herbert Hoover, Republican, 55.65
Mason, Franklin D. Roosevelt, Democratic, 52.85
Mecosta, Herbert Hoover, Republican, 50.28
Menominee, Franklin D. Roosevelt, Democratic, 61.04
Midland, Herbert Hoover, Republican, 50.62
Missaukee, Herbert Hoover, Republican, 51.6
Monroe, Franklin D. Roosevelt, Democratic, 62.05
Montcalm, Franklin D. Roosevelt, Democratic, 50.02
Montmorency, Franklin D. Roosevelt, Democratic, 57.74
Muskegon, Franklin D. Roosevelt, Democratic, 51.39
Newaygo, Herbert Hoover, Republican, 49.73
Oakland, Franklin D. Roosevelt, Democratic, 48.78
Oceana, Franklin D. Roosevelt, Democratic, 53.46
Ogemaw, Franklin D. Roosevelt, Democratic, 51.34
Ontonagon, Franklin D. Roosevelt, Democratic, 46.53
Osceola, Herbert Hoover, Republican, 55.18
Oscoda, Herbert Hoover, Republican, 52.9
Otsego, Franklin D. Roosevelt, Democratic, 55.23
Ottawa, Herbert Hoover, Republican, 58.34
Presque Isle, Franklin D. Roosevelt, Democratic, 57.36
Roscommon, Franklin D. Roosevelt, Democratic, 53.69
Saginaw, Franklin D. Roosevelt, Democratic, 54.67
Sanilac, Herbert Hoover, Republican, 61.22
Schoolcraft, Herbert Hoover, Republican, 49.05
Shiawassee, Franklin D. Roosevelt, Democratic, 53.58
St. Clair, Herbert Hoover, Republican, 53.08
St. Joseph, Franklin D. Roosevelt, Democratic, 53.82
Tuscola, Herbert Hoover, Republican, 53.75
Van Buren, Franklin D. Roosevelt, Democratic, 49.33
Washtenaw, Herbert Hoover, Republican, 52.81
Wayne, Franklin D. Roosevelt, Democratic, 57.15
Wexford, Herbert Hoover, Republican, 50.34
