Adair, Franklin Delano Roosevelt, Democratic, 59.57
Andrew, Franklin Delano Roosevelt, Democratic, 53.44
Atchison, Franklin Delano Roosevelt, Democratic, 62.3
Audrain, Franklin Delano Roosevelt, Democratic, 70.26
Barry, Franklin Delano Roosevelt, Democratic, 56.26
Barton, Franklin Delano Roosevelt, Democratic, 63.84
Bates, Franklin Delano Roosevelt, Democratic, 64.16
Benton, Franklin Delano Roosevelt, Democratic, 55.57
Bollinger, Franklin Delano Roosevelt, Democratic, 55
Boone, Franklin Delano Roosevelt, Democratic, 77.13
Buchanan, Franklin Delano Roosevelt, Democratic, 63.68
Butler, Franklin Delano Roosevelt, Democratic, 58.8
Caldwell, Franklin Delano Roosevelt, Democratic, 51.95
Callaway, Franklin Delano Roosevelt, Democratic, 76.78
Camden, Franklin Delano Roosevelt, Democratic, 54.36
Cape Girardeau, Franklin Delano Roosevelt, Democratic, 58.67
Carroll, Franklin Delano Roosevelt, Democratic, 56.34
Carter, Franklin Delano Roosevelt, Democratic, 65.92
Cass, Franklin Delano Roosevelt, Democratic, 65.24
Cedar, Franklin Delano Roosevelt, Democratic, 52.37
Chariton, Franklin Delano Roosevelt, Democratic, 74.63
Christian, Franklin Delano Roosevelt, Democratic, 50.98
Clark, Franklin Delano Roosevelt, Democratic, 57.7
Clay, Franklin Delano Roosevelt, Democratic, 74.52
Clinton, Franklin Delano Roosevelt, Democratic, 68.89
Cole, Franklin Delano Roosevelt, Democratic, 61.56
Cooper, Franklin Delano Roosevelt, Democratic, 59.54
Crawford, Franklin Delano Roosevelt, Democratic, 58.36
Dade, Franklin Delano Roosevelt, Democratic, 54.19
Dallas, Franklin Delano Roosevelt, Democratic, 51.81
Daviess, Franklin Delano Roosevelt, Democratic, 59.65
DeKalb, Franklin Delano Roosevelt, Democratic, 58.75
Dent, Franklin Delano Roosevelt, Democratic, 65.64
Douglas, Herbert Clark Hoover, Republican, 53.5
Dunklin, Franklin Delano Roosevelt, Democratic, 81.54
Franklin, Franklin Delano Roosevelt, Democratic, 60.6
Gasconade, Herbert Clark Hoover, Republican, 55.77
Gentry, Franklin Delano Roosevelt, Democratic, 66.1
Greene, Franklin Delano Roosevelt, Democratic, 55.67
Grundy, Franklin Delano Roosevelt, Democratic, 57.07
Harrison, Franklin Delano Roosevelt, Democratic, 57.39
Henry, Franklin Delano Roosevelt, Democratic, 64.85
Hickory, Herbert Clark Hoover, Republican, 63.98
Holt, Franklin Delano Roosevelt, Democratic, 57.79
Howard, Franklin Delano Roosevelt, Democratic, 79.47
Howell, Franklin Delano Roosevelt, Democratic, 55.91
Iron, Franklin Delano Roosevelt, Democratic, 64.45
Jackson, Franklin Delano Roosevelt, Democratic, 67.13
Jasper, Franklin Delano Roosevelt, Democratic, 58.6
Jefferson, Franklin Delano Roosevelt, Democratic, 63.3
Johnson, Franklin Delano Roosevelt, Democratic, 60.88
Knox, Franklin Delano Roosevelt, Democratic, 66.75
Laclede, Franklin Delano Roosevelt, Democratic, 58.04
Lafayette, Franklin Delano Roosevelt, Democratic, 58.08
Lawrence, Franklin Delano Roosevelt, Democratic, 59.74
Lewis, Franklin Delano Roosevelt, Democratic, 72.84
Lincoln, Franklin Delano Roosevelt, Democratic, 73.06
Linn, Franklin Delano Roosevelt, Democratic, 62.66
Livingston, Franklin Delano Roosevelt, Democratic, 56.24
Macon, Franklin Delano Roosevelt, Democratic, 65.55
Madison, Franklin Delano Roosevelt, Democratic, 61.96
Maries, Franklin Delano Roosevelt, Democratic, 78.33
Marion, Franklin Delano Roosevelt, Democratic, 70.89
McDonald, Franklin Delano Roosevelt, Democratic, 60.99
Mercer, Franklin Delano Roosevelt, Democratic, 52.4
Miller, Franklin Delano Roosevelt, Democratic, 58.68
Mississippi, Franklin Delano Roosevelt, Democratic, 64.55
Moniteau, Franklin Delano Roosevelt, Democratic, 61.61
Monroe, Franklin Delano Roosevelt, Democratic, 89.12
Montgomery, Franklin Delano Roosevelt, Democratic, 57.68
Morgan, Franklin Delano Roosevelt, Democratic, 57.58
New Madrid, Franklin Delano Roosevelt, Democratic, 67.26
Newton, Franklin Delano Roosevelt, Democratic, 59.17
Nodaway, Franklin Delano Roosevelt, Democratic, 65.64
Oregon, Franklin Delano Roosevelt, Democratic, 81.37
Osage, Franklin Delano Roosevelt, Democratic, 66.21
Ozark, Herbert Clark Hoover, Republican, 55.7
Pemiscot, Franklin Delano Roosevelt, Democratic, 64.01
Perry, Franklin Delano Roosevelt, Democratic, 59.19
Pettis, Franklin Delano Roosevelt, Democratic, 60.95
Phelps, Franklin Delano Roosevelt, Democratic, 72.29
Pike, Franklin Delano Roosevelt, Democratic, 69.02
Platte, Franklin Delano Roosevelt, Democratic, 81.46
Polk, Franklin Delano Roosevelt, Democratic, 53.03
Pulaski, Franklin Delano Roosevelt, Democratic, 68.4
Putnam, Herbert Clark Hoover, Republican, 50.52
Ralls, Franklin Delano Roosevelt, Democratic, 81.87
Randolph, Franklin Delano Roosevelt, Democratic, 77.87
Ray, Franklin Delano Roosevelt, Democratic, 77.59
Reynolds, Franklin Delano Roosevelt, Democratic, 75
Ripley, Franklin Delano Roosevelt, Democratic, 67.81
Saint Charles, Franklin Delano Roosevelt, Democratic, 64.37
Saint Clair, Franklin Delano Roosevelt, Democratic, 61.13
Saint Francois, Franklin Delano Roosevelt, Democratic, 55.15
Saint Louis County, Franklin Delano Roosevelt, Democratic, 60.09
Saint Louis City, Franklin Delano Roosevelt, Democratic, 63.38
Sainte Genevieve, Franklin Delano Roosevelt, Democratic, 73.24
Saline, Franklin Delano Roosevelt, Democratic, 68.51
Schuyler, Franklin Delano Roosevelt, Democratic, 66.4
Scotland, Franklin Delano Roosevelt, Democratic, 65.11
Scott, Franklin Delano Roosevelt, Democratic, 74.45
Shannon, Franklin Delano Roosevelt, Democratic, 75.15
Shelby, Franklin Delano Roosevelt, Democratic, 78.87
Stoddard, Franklin Delano Roosevelt, Democratic, 68.09
Stone, Franklin Delano Roosevelt, Democratic, 51.82
Sullivan, Franklin Delano Roosevelt, Democratic, 54.38
Taney, Herbert Clark Hoover, Republican, 51.29
Texas, Franklin Delano Roosevelt, Democratic, 65.09
Vernon, Franklin Delano Roosevelt, Democratic, 69.07
Warren, Herbert Clark Hoover, Republican, 56.14
Washington, Franklin Delano Roosevelt, Democratic, 58.91
Wayne, Franklin Delano Roosevelt, Democratic, 61.37
Webster, Franklin Delano Roosevelt, Democratic, 57.24
Worth, Franklin Delano Roosevelt, Democratic, 62.5
Wright, Franklin Delano Roosevelt, Democratic, 55.58
