Beaverhead, Franklin Delano Roosevelt, Democratic, 55.73
Big Horn, Franklin Delano Roosevelt, Democratic, 62.29
Blaine, Franklin Delano Roosevelt, Democratic, 62.56
Broadwater, Franklin Delano Roosevelt, Democratic, 65.04
Carbon, Franklin Delano Roosevelt, Democratic, 56.58
Carter, Franklin Delano Roosevelt, Democratic, 60.56
Cascade, Franklin Delano Roosevelt, Democratic, 59.72
Chouteau, Franklin Delano Roosevelt, Democratic, 60.2
Custer, Franklin Delano Roosevelt, Democratic, 60.27
Daniels, Franklin Delano Roosevelt, Democratic, 62.14
Dawson, Franklin Delano Roosevelt, Democratic, 55.8
Deer Lodge, Franklin Delano Roosevelt, Democratic, 62.75
Fallon, Franklin Delano Roosevelt, Democratic, 56.11
Fergus, Franklin Delano Roosevelt, Democratic, 62.64
Flathead, Franklin Delano Roosevelt, Democratic, 52.4
Gallatin, Franklin Delano Roosevelt, Democratic, 61.44
Garfield, Franklin Delano Roosevelt, Democratic, 58.49
Glacier, Franklin Delano Roosevelt, Democratic, 70.4
Golden Valley, Franklin Delano Roosevelt, Democratic, 51.43
Granite, Franklin Delano Roosevelt, Democratic, 59.42
Hill, Franklin Delano Roosevelt, Democratic, 64.44
Jefferson, Franklin Delano Roosevelt, Democratic, 58.94
Judith Basin, Franklin Delano Roosevelt, Democratic, 60.07
Lake, Franklin Delano Roosevelt, Democratic, 61.59
Lewis and Clark, Franklin Delano Roosevelt, Democratic, 54.84
Liberty, Franklin Delano Roosevelt, Democratic, 72.38
Lincoln, Franklin Delano Roosevelt, Democratic, 64.25
Madison, Franklin Delano Roosevelt, Democratic, 59.27
McCone, Franklin Delano Roosevelt, Democratic, 58.93
Meagher, Franklin Delano Roosevelt, Democratic, 56.35
Mineral, Franklin Delano Roosevelt, Democratic, 60.52
Missoula, Franklin Delano Roosevelt, Democratic, 54.51
Musselshell, Franklin Delano Roosevelt, Democratic, 55.77
Park, Franklin Delano Roosevelt, Democratic, 54.96
Petroleum, Franklin Delano Roosevelt, Democratic, 58.87
Phillips, Franklin Delano Roosevelt, Democratic, 61.79
Pondera, Franklin Delano Roosevelt, Democratic, 62.78
Powder River, Franklin Delano Roosevelt, Democratic, 60.34
Powell, Franklin Delano Roosevelt, Democratic, 62.4
Prairie, Franklin Delano Roosevelt, Democratic, 52.78
Ravalli, Franklin Delano Roosevelt, Democratic, 53.17
Richland, Franklin Delano Roosevelt, Democratic, 56.74
Roosevelt, Franklin Delano Roosevelt, Democratic, 64.66
Rosebud, Franklin Delano Roosevelt, Democratic, 58.7
Sanders, Franklin Delano Roosevelt, Democratic, 60.63
Sheridan, Franklin Delano Roosevelt, Democratic, 44.67
Silver Bow, Franklin Delano Roosevelt, Democratic, 62.41
Stillwater, Franklin Delano Roosevelt, Democratic, 52.22
Sweet Grass, Herbert Clark Hoover, Republican, 49.18
Teton, Franklin Delano Roosevelt, Democratic, 61.61
Toole, Franklin Delano Roosevelt, Democratic, 66.7
Treasure, Franklin Delano Roosevelt, Democratic, 52.01
Valley, Franklin Delano Roosevelt, Democratic, 61.07
Wheatland, Franklin Delano Roosevelt, Democratic, 54.22
Wibaux, Franklin Delano Roosevelt, Democratic, 63.69
Yellowstone, Franklin Delano Roosevelt, Democratic, 50.31
