Adams, Franklin Delano Roosevelt, Democratic, 58.1
Barnes, Franklin Delano Roosevelt, Democratic, 63.04
Benson, Franklin Delano Roosevelt, Democratic, 74.23
Billings, Franklin Delano Roosevelt, Democratic, 70.44
Bottineau, Franklin Delano Roosevelt, Democratic, 75.05
Bowman, Franklin Delano Roosevelt, Democratic, 59.38
Burke, Franklin Delano Roosevelt, Democratic, 68.81
Burleigh, Franklin Delano Roosevelt, Democratic, 66.61
Cass, Franklin Delano Roosevelt, Democratic, 54.4
Cavalier, Franklin Delano Roosevelt, Democratic, 71.33
Dickey, Franklin Delano Roosevelt, Democratic, 66.08
Divide, Franklin Delano Roosevelt, Democratic, 69.78
Dunn, Franklin Delano Roosevelt, Democratic, 79.12
Eddy, Franklin Delano Roosevelt, Democratic, 74.71
Emmons, Franklin Delano Roosevelt, Democratic, 76.29
Foster, Franklin Delano Roosevelt, Democratic, 74.38
Golden Valley, Franklin Delano Roosevelt, Democratic, 60.35
Grand Forks, Franklin Delano Roosevelt, Democratic, 58.75
Grant, Franklin Delano Roosevelt, Democratic, 79.69
Griggs, Franklin Delano Roosevelt, Democratic, 77.32
Hettinger, Franklin Delano Roosevelt, Democratic, 69.57
Kidder, Franklin Delano Roosevelt, Democratic, 73.14
LaMoure, Franklin Delano Roosevelt, Democratic, 72.22
Logan, Franklin Delano Roosevelt, Democratic, 84.93
McHenry, Franklin Delano Roosevelt, Democratic, 70.73
McIntosh, Franklin Delano Roosevelt, Democratic, 86.88
McKenzie, Franklin Delano Roosevelt, Democratic, 74.85
McLean, Franklin Delano Roosevelt, Democratic, 76.08
Mercer, Franklin Delano Roosevelt, Democratic, 83.23
Morton, Franklin Delano Roosevelt, Democratic, 74.67
Mountrail, Franklin Delano Roosevelt, Democratic, 73.83
Nelson, Franklin Delano Roosevelt, Democratic, 76.86
Oliver, Franklin Delano Roosevelt, Democratic, 78.42
Pembina, Franklin Delano Roosevelt, Democratic, 65.04
Pierce, Franklin Delano Roosevelt, Democratic, 73.18
Ramsey, Franklin Delano Roosevelt, Democratic, 68.53
Ransom, Franklin Delano Roosevelt, Democratic, 66.29
Renville, Franklin Delano Roosevelt, Democratic, 72.1
Richland, Franklin Delano Roosevelt, Democratic, 69.2
Rolette, Franklin Delano Roosevelt, Democratic, 79.22
Sargent, Franklin Delano Roosevelt, Democratic, 75.98
Sheridan, Franklin Delano Roosevelt, Democratic, 79.29
Sioux, Franklin Delano Roosevelt, Democratic, 77.12
Slope, Franklin Delano Roosevelt, Democratic, 68.43
Stark, Franklin Delano Roosevelt, Democratic, 80.72
Steele, Franklin Delano Roosevelt, Democratic, 71.69
Stutsman, Franklin Delano Roosevelt, Democratic, 69.63
Towner, Franklin Delano Roosevelt, Democratic, 73.02
Traill, Franklin Delano Roosevelt, Democratic, 61.33
Walsh, Franklin Delano Roosevelt, Democratic, 73.74
Ward, Franklin Delano Roosevelt, Democratic, 64.38
Wells, Franklin Delano Roosevelt, Democratic, 77.4
Williams, Franklin Delano Roosevelt, Democratic, 70.06
