Autauga, James Strom Thurmond,  Dixiecrat, 90.2
Baldwin, James Strom Thurmond,  Dixiecrat, 74.8
Barbour, James Strom Thurmond,  Dixiecrat, 93.9
Bibb, James Strom Thurmond,  Dixiecrat, 88.46
Blount, James Strom Thurmond,  Dixiecrat, 68.98
Bullock, James Strom Thurmond,  Dixiecrat, 98.76
Butler, James Strom Thurmond,  Dixiecrat, 93.19
Calhoun, James Strom Thurmond,  Dixiecrat, 77.4
Chambers, James Strom Thurmond,  Dixiecrat, 86.02
Cherokee, James Strom Thurmond,  Dixiecrat, 81.59
Chilton, James Strom Thurmond,  Dixiecrat, 55.09
Choctaw, James Strom Thurmond,  Dixiecrat, 98.83
Clarke, James Strom Thurmond,  Dixiecrat, 97.58
Clay, James Strom Thurmond,  Dixiecrat, 73.64
Cleburne, James Strom Thurmond,  Dixiecrat, 68.16
Coffee, James Strom Thurmond,  Dixiecrat, 94.38
Colbert, James Strom Thurmond,  Dixiecrat, 83.49
Conecuh, James Strom Thurmond,  Dixiecrat, 95.03
Coosa, James Strom Thurmond,  Dixiecrat, 74.73
Covington, James Strom Thurmond,  Dixiecrat, 94.14
Crenshaw, James Strom Thurmond,  Dixiecrat, 96.79
Cullman, James Strom Thurmond,  Dixiecrat, 66.87
Dale, James Strom Thurmond,  Dixiecrat, 84.39
Dallas, James Strom Thurmond,  Dixiecrat, 94.77
DeKalb, James Strom Thurmond,  Dixiecrat, 56.42
Elmore, James Strom Thurmond,  Dixiecrat, 92.88
Escambia, James Strom Thurmond,  Dixiecrat, 89.32
Etowah, James Strom Thurmond,  Dixiecrat, 76.95
Fayette, James Strom Thurmond,  Dixiecrat, 63.07
Franklin, James Strom Thurmond,  Dixiecrat, 55.68
Geneva, James Strom Thurmond,  Dixiecrat, 85.87
Greene, James Strom Thurmond,  Dixiecrat, 94.66
Hale, James Strom Thurmond,  Dixiecrat, 95.77
Henry, James Strom Thurmond,  Dixiecrat, 95.59
Houston, James Strom Thurmond,  Dixiecrat, 85.78
Jackson, James Strom Thurmond,  Dixiecrat, 73.54
Jefferson, James Strom Thurmond,  Dixiecrat, 79.35
Lamar, James Strom Thurmond,  Dixiecrat, 88.41
Lauderdale, James Strom Thurmond,  Dixiecrat, 85.24
Lawrence, James Strom Thurmond,  Dixiecrat, 79.51
Lee, James Strom Thurmond,  Dixiecrat, 86.25
Limestone, James Strom Thurmond,  Dixiecrat, 93.49
Lowndes, James Strom Thurmond,  Dixiecrat, 94.95
Macon, James Strom Thurmond,  Dixiecrat, 90.67
Madison, James Strom Thurmond,  Dixiecrat, 83.58
Marengo, James Strom Thurmond,  Dixiecrat, 96.4
Marion, James Strom Thurmond,  Dixiecrat, 66.48
Marshall, James Strom Thurmond,  Dixiecrat, 73.81
Mobile, James Strom Thurmond,  Dixiecrat, 78.29
Monroe, James Strom Thurmond,  Dixiecrat, 97.86
Montgomery, James Strom Thurmond,  Dixiecrat, 86.01
Morgan, James Strom Thurmond,  Dixiecrat, 87.65
Perry, James Strom Thurmond,  Dixiecrat, 95.47
Pickens, James Strom Thurmond,  Dixiecrat, 93.37
Pike, James Strom Thurmond,  Dixiecrat, 94.93
Randolph, James Strom Thurmond,  Dixiecrat, 72.2
Russell, James Strom Thurmond,  Dixiecrat, 93.81
Shelby, James Strom Thurmond,  Dixiecrat, 63.86
St. Clair, James Strom Thurmond,  Dixiecrat, 66.6
Sumter, James Strom Thurmond,  Dixiecrat, 95.06
Talladega, James Strom Thurmond,  Dixiecrat, 83.05
Tallapoosa, James Strom Thurmond,  Dixiecrat, 93.33
Tuscaloosa, James Strom Thurmond,  Dixiecrat, 86.1
Walker, James Strom Thurmond,  Dixiecrat, 66.47
Washington, James Strom Thurmond,  Dixiecrat, 97.02
Wilcox, James Strom Thurmond,  Dixiecrat, 98.81
Winston, Thomas Edmund Dewey, Republican, 64.34
