Arkansas, Harry S. Truman, Democratic, 53.07
Ashley, Harry S. Truman, Democratic, 76.58
Baxter, Harry S. Truman, Democratic, 62.39
Benton, Harry S. Truman, Democratic, 50.38
Boone, Harry S. Truman, Democratic, 63.86
Bradley, Harry S. Truman, Democratic, 65.2
Calhoun, Harry S. Truman, Democratic, 83.66
Carroll, Harry S. Truman, Democratic, 55.1
Chicot, Harry S. Truman, Democratic, 54.03
Clark, Harry S. Truman, Democratic, 69.75
Clay, Harry S. Truman, Democratic, 66.94
Cleburne, Harry S. Truman, Democratic, 73.32
Cleveland, Harry S. Truman, Democratic, 67.5
Columbia, Harry S. Truman, Democratic, 59.98
Conway, Harry S. Truman, Democratic, 72.17
Craighead, Harry S. Truman, Democratic, 63.37
Crawford, Harry S. Truman, Democratic, 58.6
Crittenden, James Strom Thurmond, Dixiecrat, 69.27
Cross, Harry S. Truman, Democratic, 48.57
Dallas, Harry S. Truman, Democratic, 68.98
Desha, Harry S. Truman, Democratic, 69.96
Drew, Harry S. Truman, Democratic, 59.4
Faulkner, Harry S. Truman, Democratic, 73.76
Franklin, Harry S. Truman, Democratic, 76.05
Fulton, Harry S. Truman, Democratic, 69.27
Garland, Harry S. Truman, Democratic, 52.61
Grant, Harry S. Truman, Democratic, 71.5
Greene, Harry S. Truman, Democratic, 78.38
Hempstead, Harry S. Truman, Democratic, 54.84
Hot Spring, Harry S. Truman, Democratic, 69.9
Howard, Harry S. Truman, Democratic, 75.67
Independence, Harry S. Truman, Democratic, 66.08
Izard, Harry S. Truman, Democratic, 81.93
Jackson, Harry S. Truman, Democratic, 82.45
Jefferson, Harry S. Truman, Democratic, 61.92
Johnson, Harry S. Truman, Democratic, 69.59
Lafayette, Harry S. Truman, Democratic, 49.16
Lawrence, Harry S. Truman, Democratic, 74.89
Lee, James Strom Thurmond, Dixiecrat, 58.08
Lincoln, Harry S. Truman, Democratic, 65.91
Little River, Harry S. Truman, Democratic, 59.06
Logan, Harry S. Truman, Democratic, 66.73
Lonoke, Harry S. Truman, Democratic, 69.04
Madison, Thomas Edmund Dewey, Republican, 51.22
Marion, Harry S. Truman, Democratic, 72.58
Miller, Harry S. Truman, Democratic, 62.24
Mississippi, Harry S. Truman, Democratic, 59.4
Monroe, Harry S. Truman, Democratic, 60.89
Montgomery, Harry S. Truman, Democratic, 75.22
Nevada, Harry S. Truman, Democratic, 64.33
Newton, Thomas Edmund Dewey, Republican, 50.29
Ouachita, Harry S. Truman, Democratic, 68.8
Perry, Harry S. Truman, Democratic, 67
Phillips, James Strom Thurmond, Dixiecrat, 55.57
Pike, Harry S. Truman, Democratic, 73.8
Poinsett, Harry S. Truman, Democratic, 65.24
Polk, Harry S. Truman, Democratic, 66.21
Pope, Harry S. Truman, Democratic, 67.95
Prairie, Harry S. Truman, Democratic, 60.79
Pulaski, Harry S. Truman, Democratic, 53.25
Randolph, Harry S. Truman, Democratic, 81.24
St. Francis, Harry S. Truman, Democratic, 46.91
Saline, Harry S. Truman, Democratic, 72.18
Scott, Harry S. Truman, Democratic, 77.63
Searcy, Harry S. Truman, Democratic, 51.81
Sebastian, Harry S. Truman, Democratic, 57.36
Sevier, Harry S. Truman, Democratic, 71.53
Sharp, Harry S. Truman, Democratic, 74.19
Stone, Harry S. Truman, Democratic, 61.8
Union, Harry S. Truman, Democratic, 67.01
Van Buren, Harry S. Truman, Democratic, 63.96
Washington, Harry S. Truman, Democratic, 49.38
White, Harry S. Truman, Democratic, 69.04
Woodruff, Harry S. Truman, Democratic, 55.11
Yell, Harry S. Truman, Democratic, 77.08
