Androscoggin, Harry S. Truman, Democratic, 59.68
Aroostook, Thomas Edmund Dewey, Republican, 56.51
Cumberland, Thomas Edmund Dewey, Republican, 60.71
Franklin, Thomas Edmund Dewey, Republican, 63.19
Hancock, Thomas Edmund Dewey, Republican, 77.72
Kennebec, Thomas Edmund Dewey, Republican, 55.12
Knox, Thomas Edmund Dewey, Republican, 72.67
Lincoln, Thomas Edmund Dewey, Republican, 80.49
Oxford, Thomas Edmund Dewey, Republican, 58.24
Penobscot, Thomas Edmund Dewey, Republican, 59.92
Piscataquis, Thomas Edmund Dewey, Republican, 59.34
Sagadahoc, Thomas Edmund Dewey, Republican, 58.78
Somerset, Thomas Edmund Dewey, Republican, 60.48
Waldo, Thomas Edmund Dewey, Republican, 74.21
Washington, Thomas Edmund Dewey, Republican, 58.64
York, Harry S. Truman, Democratic, 53.06
