Beaverhead, Thomas Edmund Dewey, Republican, 52.68
Big Horn, Thomas Edmund Dewey, Republican, 49.37
Blaine, Harry S. Truman, Democratic, 60.74
Broadwater, Thomas Edmund Dewey, Republican, 55.61
Carbon, Harry S. Truman, Democratic, 47.9
Carter, Harry S. Truman, Democratic, 52.4
Cascade, Harry S. Truman, Democratic, 60.97
Chouteau, Harry S. Truman, Democratic, 58.38
Custer, Harry S. Truman, Democratic, 55.34
Daniels, Harry S. Truman, Democratic, 54.24
Dawson, Thomas Edmund Dewey, Republican, 51.54
Deer Lodge, Harry S. Truman, Democratic, 62.17
Fallon, Thomas Edmund Dewey, Republican, 51.02
Fergus, Harry S. Truman, Democratic, 54.12
Flathead, Harry S. Truman, Democratic, 49.45
Gallatin, Thomas Edmund Dewey, Republican, 53.08
Garfield, Thomas Edmund Dewey, Republican, 51.49
Glacier, Harry S. Truman, Democratic, 63.8
Golden Valley, Thomas Edmund Dewey, Republican, 53.09
Granite, Thomas Edmund Dewey, Republican, 51.97
Hill, Harry S. Truman, Democratic, 64.1
Jefferson, Harry S. Truman, Democratic, 50.85
Judith Basin, Harry S. Truman, Democratic, 56.2
Lake, Thomas Edmund Dewey, Republican, 49.35
Lewis and Clark, Thomas Edmund Dewey, Republican, 50.85
Liberty, Harry S. Truman, Democratic, 58.53
Lincoln, Harry S. Truman, Democratic, 58.38
Madison, Thomas Edmund Dewey, Republican, 55.15
McCone, Harry S. Truman, Democratic, 51.2
Meagher, Thomas Edmund Dewey, Republican, 50.05
Mineral, Harry S. Truman, Democratic, 55.23
Missoula, Harry S. Truman, Democratic, 50.49
Musselshell, Harry S. Truman, Democratic, 47.6
Park, Thomas Edmund Dewey, Republican, 50.79
Petroleum, Harry S. Truman, Democratic, 50.98
Phillips, Harry S. Truman, Democratic, 58.62
Pondera, Harry S. Truman, Democratic, 60.98
Powder River, Thomas Edmund Dewey, Republican, 60.17
Powell, Harry S. Truman, Democratic, 53.37
Prairie, Harry S. Truman, Democratic, 50.58
Ravalli, Thomas Edmund Dewey, Republican, 49.84
Richland, Harry S. Truman, Democratic, 54.14
Roosevelt, Harry S. Truman, Democratic, 58.18
Rosebud, Thomas Edmund Dewey, Republican, 50.71
Sanders, Harry S. Truman, Democratic, 51.5
Sheridan, Harry S. Truman, Democratic, 61.76
Silver Bow, Harry S. Truman, Democratic, 59.6
Stillwater, Thomas Edmund Dewey, Republican, 54.48
Sweet Grass, Thomas Edmund Dewey, Republican, 61.71
Teton, Harry S. Truman, Democratic, 60
Toole, Harry S. Truman, Democratic, 60.8
Treasure, Harry S. Truman, Democratic, 51.96
Valley, Harry S. Truman, Democratic, 61.68
Wheatland, Thomas Edmund Dewey, Republican, 50.88
Wibaux, Harry S. Truman, Democratic, 52.04
Yellowstone, Thomas Edmund Dewey, Republican, 50.74
