Adair, Harry S. Truman, Democratic, 56.03
Alfalfa, Thomas Edmund Dewey, Republican, 60.07
Atoka, Harry S. Truman, Democratic, 75.03
Beaver, Harry S. Truman, Democratic, 52.92
Beckham, Harry S. Truman, Democratic, 77.62
Blaine, Thomas Edmund Dewey, Republican, 52.21
Bryan, Harry S. Truman, Democratic, 85.01
Caddo, Harry S. Truman, Democratic, 68.13
Canadian, Harry S. Truman, Democratic, 59.89
Carter, Harry S. Truman, Democratic, 81.52
Cherokee, Harry S. Truman, Democratic, 60.41
Choctaw, Harry S. Truman, Democratic, 82.09
Cimarron, Harry S. Truman, Democratic, 57.9
Cleveland, Harry S. Truman, Democratic, 64.1
Coal, Harry S. Truman, Democratic, 82.07
Comanche, Harry S. Truman, Democratic, 74.06
Cotton, Harry S. Truman, Democratic, 77.98
Craig, Harry S. Truman, Democratic, 59.84
Creek, Harry S. Truman, Democratic, 58.47
Custer, Harry S. Truman, Democratic, 64.26
Delaware, Harry S. Truman, Democratic, 57.4
Dewey, Harry S. Truman, Democratic, 57.83
Ellis, Thomas Edmund Dewey, Republican, 51.73
Garfield, Thomas Edmund Dewey, Republican, 55.75
Garvin, Harry S. Truman, Democratic, 80.13
Grady, Harry S. Truman, Democratic, 73.84
Grant, Thomas Edmund Dewey, Republican, 53.75
Greer, Harry S. Truman, Democratic, 81.02
Harmon, Harry S. Truman, Democratic, 89.79
Harper, Harry S. Truman, Democratic, 51.2
Haskell, Harry S. Truman, Democratic, 69.76
Hughes, Harry S. Truman, Democratic, 76.62
Jackson, Harry S. Truman, Democratic, 85.52
Jefferson, Harry S. Truman, Democratic, 85.68
Johnston, Harry S. Truman, Democratic, 83.41
Kay, Harry S. Truman, Democratic, 52.98
Kingfisher, Thomas Edmund Dewey, Republican, 54.09
Kiowa, Harry S. Truman, Democratic, 73.59
Latimer, Harry S. Truman, Democratic, 73.4
Le Flore, Harry S. Truman, Democratic, 70.64
Lincoln, Harry S. Truman, Democratic, 55.76
Logan, Harry S. Truman, Democratic, 51.84
Love, Harry S. Truman, Democratic, 89.8
Major, Thomas Edmund Dewey, Republican, 66.78
Marshall, Harry S. Truman, Democratic, 83.96
Mayes, Harry S. Truman, Democratic, 59.55
McClain, Harry S. Truman, Democratic, 79.17
McCurtain, Harry S. Truman, Democratic, 85.08
McIntosh, Harry S. Truman, Democratic, 71.81
Murray, Harry S. Truman, Democratic, 79.28
Muskogee, Harry S. Truman, Democratic, 67.77
Noble, Harry S. Truman, Democratic, 53.27
Nowata, Harry S. Truman, Democratic, 55.92
Okfuskee, Harry S. Truman, Democratic, 67.25
Oklahoma, Harry S. Truman, Democratic, 59.89
Okmulgee, Harry S. Truman, Democratic, 70.56
Osage, Harry S. Truman, Democratic, 64.43
Ottawa, Harry S. Truman, Democratic, 62.73
Pawnee, Harry S. Truman, Democratic, 50.65
Payne, Harry S. Truman, Democratic, 56.03
Pittsburg, Harry S. Truman, Democratic, 76.8
Pontotoc, Harry S. Truman, Democratic, 77.2
Pottawatomie, Harry S. Truman, Democratic, 68.22
Pushmataha, Harry S. Truman, Democratic, 79.05
Roger Mills, Harry S. Truman, Democratic, 81.04
Rogers, Harry S. Truman, Democratic, 59.57
Seminole, Harry S. Truman, Democratic, 70.35
Sequoyah, Harry S. Truman, Democratic, 68.17
Stephens, Harry S. Truman, Democratic, 77.83
Texas, Harry S. Truman, Democratic, 61.64
Tillman, Harry S. Truman, Democratic, 79.37
Tulsa, Thomas Edmund Dewey, Republican, 52.67
Wagoner, Harry S. Truman, Democratic, 55.97
Washington, Thomas Edmund Dewey, Republican, 52.29
Washita, Harry S. Truman, Democratic, 72.55
Woods, Harry S. Truman, Democratic, 50.1
Woodward, Thomas Edmund Dewey, Republican, 52.31
