Beaver, Harry S. Truman, Democratic, 52.56
Box Elder, Thomas Edmund Dewey, Republican, 50.7
Cache, Thomas Edmund Dewey, Republican, 50.32
Carbon, Harry S. Truman, Democratic, 68.34
Daggett, Harry S. Truman, Democratic, 57.58
Davis, Harry S. Truman, Democratic, 56.21
Duchesne, Harry S. Truman, Democratic, 55.33
Emery, Harry S. Truman, Democratic, 56.53
Garfield, Thomas Edmund Dewey, Republican, 58.97
Grand, Thomas Edmund Dewey, Republican, 50.54
Iron, Thomas Edmund Dewey, Republican, 58.53
Juab, Harry S. Truman, Democratic, 51.55
Kane, Thomas Edmund Dewey, Republican, 77.76
Millard, Thomas Edmund Dewey, Republican, 54.21
Morgan, Harry S. Truman, Democratic, 52.96
Piute, Thomas Edmund Dewey, Republican, 57.67
Rich, Thomas Edmund Dewey, Republican, 52.09
Salt Lake, Harry S. Truman, Democratic, 53.85
San Juan, Thomas Edmund Dewey, Republican, 56.77
Sanpete, Thomas Edmund Dewey, Republican, 52.02
Sevier, Thomas Edmund Dewey, Republican, 58.76
Summit, Thomas Edmund Dewey, Republican, 50.44
Tooele, Harry S. Truman, Democratic, 57.29
Uintah, Harry S. Truman, Democratic, 51.44
Utah, Harry S. Truman, Democratic, 54.18
Wasatch, Harry S. Truman, Democratic, 51.03
Washington, Thomas Edmund Dewey, Republican, 56.1
Wayne, Harry S. Truman, Democratic, 55.35
Weber, Harry S. Truman, Democratic, 62.16
