Apache, Ronald Wilson Reagan, Republican, 56.55
Cochise, Ronald Wilson Reagan, Republican, 59.48
Coconino, Ronald Wilson Reagan, Republican, 55.78
Gila, Ronald Wilson Reagan, Republican, 55.27
Graham, Ronald Wilson Reagan, Republican, 59.85
Greenlee, James Earl Carter, Democratic, 54.02
Maricopa, Ronald Wilson Reagan, Republican, 64.97
Mohave, Ronald Wilson Reagan, Republican, 68.86
Navajo, Ronald Wilson Reagan, Republican, 63.91
Pima, Ronald Wilson Reagan, Republican, 49.75
Pinal, Ronald Wilson Reagan, Republican, 52.43
Santa Cruz, Ronald Wilson Reagan, Republican, 50.07
Yavapai, Ronald Wilson Reagan, Republican, 68.37
Yuma, Ronald Wilson Reagan, Republican, 63.34
