Aitkin, James Earl Carter, Democratic, 47.94
Anoka, James Earl Carter, Democratic, 51.83
Becker, Ronald Wilson Reagan, Republican, 52.14
Beltrami, James Earl Carter, Democratic, 47.83
Benton, Ronald Wilson Reagan, Republican, 46.79
Big Stone, Ronald Wilson Reagan, Republican, 47.67
Blue Earth, Ronald Wilson Reagan, Republican, 45.78
Brown, Ronald Wilson Reagan, Republican, 57.01
Carlton, James Earl Carter, Democratic, 59.48
Carver, Ronald Wilson Reagan, Republican, 53.62
Cass, Ronald Wilson Reagan, Republican, 53.28
Chippewa, Ronald Wilson Reagan, Republican, 52.51
Chisago, James Earl Carter, Democratic, 49.83
Clay, Ronald Wilson Reagan, Republican, 46.41
Clearwater, James Earl Carter, Democratic, 47.26
Cook, Ronald Wilson Reagan, Republican, 50.62
Cottonwood, Ronald Wilson Reagan, Republican, 54.26
Crow Wing, Ronald Wilson Reagan, Republican, 50.03
Dakota, James Earl Carter, Democratic, 45.84
Dodge, Ronald Wilson Reagan, Republican, 54.93
Douglas, Ronald Wilson Reagan, Republican, 53.85
Faribault, Ronald Wilson Reagan, Republican, 59.21
Fillmore, Ronald Wilson Reagan, Republican, 57.04
Freeborn, Ronald Wilson Reagan, Republican, 47.65
Goodhue, Ronald Wilson Reagan, Republican, 46.07
Grant, Ronald Wilson Reagan, Republican, 48.08
Hennepin, James Earl Carter, Democratic, 47.41
Houston, Ronald Wilson Reagan, Republican, 58.88
Hubbard, Ronald Wilson Reagan, Republican, 55.53
Isanti, James Earl Carter, Democratic, 50.49
Itasca, James Earl Carter, Democratic, 54.59
Jackson, Ronald Wilson Reagan, Republican, 48
Kanabec, James Earl Carter, Democratic, 48.18
Kandiyohi, Ronald Wilson Reagan, Republican, 46.86
Kittson, Ronald Wilson Reagan, Republican, 52.42
Koochiching, James Earl Carter, Democratic, 50.68
Lac qui Parle, Ronald Wilson Reagan, Republican, 50.5
Lake, James Earl Carter, Democratic, 55.75
Lake of the Woods, Ronald Wilson Reagan, Republican, 52.6
Le Sueur, Ronald Wilson Reagan, Republican, 47.12
Lincoln, Ronald Wilson Reagan, Republican, 51.49
Lyon, Ronald Wilson Reagan, Republican, 45.33
Mahnomen, Ronald Wilson Reagan, Republican, 48.39
Marshall, Ronald Wilson Reagan, Republican, 53.7
Martin, Ronald Wilson Reagan, Republican, 57.4
McLeod, Ronald Wilson Reagan, Republican, 55.71
Meeker, Ronald Wilson Reagan, Republican, 49.85
Mille Lacs, James Earl Carter, Democratic, 49.3
Morrison, James Earl Carter, Democratic, 49.44
Mower, James Earl Carter, Democratic, 51.85
Murray, Ronald Wilson Reagan, Republican, 48.56
Nicollet, Ronald Wilson Reagan, Republican, 47.25
Nobles, Ronald Wilson Reagan, Republican, 45.4
Norman, James Earl Carter, Democratic, 46.17
Olmsted, Ronald Wilson Reagan, Republican, 55.5
Otter Tail, Ronald Wilson Reagan, Republican, 57.74
Pennington, Ronald Wilson Reagan, Republican, 50.09
Pine, James Earl Carter, Democratic, 52.86
Pipestone, Ronald Wilson Reagan, Republican, 51.37
Polk, Ronald Wilson Reagan, Republican, 51.21
Pope, Ronald Wilson Reagan, Republican, 51.34
Ramsey, James Earl Carter, Democratic, 53.61
Red Lake, James Earl Carter, Democratic, 48.69
Redwood, Ronald Wilson Reagan, Republican, 61.79
Renville, Ronald Wilson Reagan, Republican, 53.08
Rice, James Earl Carter, Democratic, 46.1
Rock, Ronald Wilson Reagan, Republican, 55.38
Roseau, Ronald Wilson Reagan, Republican, 53.16
Saint Louis, James Earl Carter, Democratic, 60.52
Scott, James Earl Carter, Democratic, 45.49
Sherburne, James Earl Carter, Democratic, 45.73
Sibley, Ronald Wilson Reagan, Republican, 58.36
Stearns, Ronald Wilson Reagan, Republican, 48.31
Steele, Ronald Wilson Reagan, Republican, 54.66
Stevens, Ronald Wilson Reagan, Republican, 50.69
Swift, James Earl Carter, Democratic, 47.56
Todd, Ronald Wilson Reagan, Republican, 53.27
Traverse, Ronald Wilson Reagan, Republican, 51.95
Wabasha, Ronald Wilson Reagan, Republican, 52.75
Wadena, Ronald Wilson Reagan, Republican, 57.57
Waseca, Ronald Wilson Reagan, Republican, 51.62
Washington, James Earl Carter, Democratic, 46.69
Watonwan, Ronald Wilson Reagan, Republican, 55.09
Wilkin, Ronald Wilson Reagan, Republican, 54.15
Winona, Ronald Wilson Reagan, Republican, 45.11
Wright, James Earl Carter, Democratic, 45.88
Yellow Medicine, Ronald Wilson Reagan, Republican, 53.95
