Adams, Ronald Wilson Reagan, Republican, 48.97
Alcorn, James Earl Carter, Democratic, 49.56
Amite, James Earl Carter, Democratic, 54.08
Attala, James Earl Carter, Democratic, 50.12
Benton, James Earl Carter, Democratic, 61.1
Bolivar, James Earl Carter, Democratic, 61
Calhoun, James Earl Carter, Democratic, 54.74
Carroll, Ronald Wilson Reagan, Republican, 50.92
Chickasaw, James Earl Carter, Democratic, 57.23
Choctaw, Ronald Wilson Reagan, Republican, 52.15
Claiborne, James Earl Carter, Democratic, 71.71
Clarke, Ronald Wilson Reagan, Republican, 49.14
Clay, James Earl Carter, Democratic, 53.68
Coahoma, James Earl Carter, Democratic, 58.51
Copiah, James Earl Carter, Democratic, 54.41
Covington, Ronald Wilson Reagan, Republican, 53.15
DeSoto, Ronald Wilson Reagan, Republican, 58.8
Forrest, Ronald Wilson Reagan, Republican, 59.34
Franklin, James Earl Carter, Democratic, 49.65
George, Ronald Wilson Reagan, Republican, 51.45
Greene, Ronald Wilson Reagan, Republican, 50.04
Grenada, James Earl Carter, Democratic, 50.39
Hancock, Ronald Wilson Reagan, Republican, 57.07
Harrison, Ronald Wilson Reagan, Republican, 58.7
Hinds, Ronald Wilson Reagan, Republican, 53.44
Holmes, James Earl Carter, Democratic, 65.54
Humphreys, James Earl Carter, Democratic, 59.16
Issaquena, James Earl Carter, Democratic, 61.78
Itawamba, James Earl Carter, Democratic, 61.79
Jackson, Ronald Wilson Reagan, Republican, 62.57
Jasper, James Earl Carter, Democratic, 57.14
Jefferson, James Earl Carter, Democratic, 77.09
Jefferson Davis, James Earl Carter, Democratic, 61.92
Jones, Ronald Wilson Reagan, Republican, 53.11
Kemper, James Earl Carter, Democratic, 58.59
Lafayette, James Earl Carter, Democratic, 51.06
Lamar, Ronald Wilson Reagan, Republican, 63.13
Lauderdale, Ronald Wilson Reagan, Republican, 56.38
Lawrence, Ronald Wilson Reagan, Republican, 50.02
Leake, James Earl Carter, Democratic, 52.12
Lee, James Earl Carter, Democratic, 53.19
Leflore, James Earl Carter, Democratic, 54.83
Lincoln, Ronald Wilson Reagan, Republican, 57.78
Lowndes, Ronald Wilson Reagan, Republican, 60.98
Madison, James Earl Carter, Democratic, 54.28
Marion, James Earl Carter, Democratic, 50.12
Marshall, James Earl Carter, Democratic, 65.94
Monroe, James Earl Carter, Democratic, 57.18
Montgomery, James Earl Carter, Democratic, 51.26
Neshoba, Ronald Wilson Reagan, Republican, 56.45
Newton, Ronald Wilson Reagan, Republican, 54.36
Noxubee, James Earl Carter, Democratic, 61.82
Oktibbeha, Ronald Wilson Reagan, Republican, 49.7
Panola, James Earl Carter, Democratic, 57.6
Pearl River, Ronald Wilson Reagan, Republican, 56.19
Perry, Ronald Wilson Reagan, Republican, 52.9
Pike, James Earl Carter, Democratic, 48.8
Pontotoc, James Earl Carter, Democratic, 57.66
Prentiss, James Earl Carter, Democratic, 59.09
Quitman, James Earl Carter, Democratic, 60.83
Rankin, Ronald Wilson Reagan, Republican, 66.25
Scott, Ronald Wilson Reagan, Republican, 52.59
Sharkey, James Earl Carter, Democratic, 64.78
Simpson, Ronald Wilson Reagan, Republican, 55.6
Smith, Ronald Wilson Reagan, Republican, 59.5
Stone, Ronald Wilson Reagan, Republican, 49.21
Sunflower, James Earl Carter, Democratic, 56.4
Tallahatchie, James Earl Carter, Democratic, 60.02
Tate, James Earl Carter, Democratic, 52.84
Tippah, James Earl Carter, Democratic, 52.24
Tishomingo, James Earl Carter, Democratic, 63.63
Tunica, James Earl Carter, Democratic, 68.58
Union, James Earl Carter, Democratic, 57.38
Walthall, James Earl Carter, Democratic, 51.37
Warren, Ronald Wilson Reagan, Republican, 56
Washington, James Earl Carter, Democratic, 53.3
Wayne, Ronald Wilson Reagan, Republican, 52.07
Webster, Ronald Wilson Reagan, Republican, 50.64
Wilkinson, James Earl Carter, Democratic, 66.24
Winston, James Earl Carter, Democratic, 51.68
Yalobusha, James Earl Carter, Democratic, 59.35
Yazoo, James Earl Carter, Democratic, 52.09
