Churchill, Ronald Wilson Reagan, Republican, 72.84
Clark, Ronald Wilson Reagan, Republican, 59.8
Douglas, Ronald Wilson Reagan, Republican, 71.55
Elko, Ronald Wilson Reagan, Republican, 70.89
Esmeralda, Ronald Wilson Reagan, Republican, 66.31
Eureka, Ronald Wilson Reagan, Republican, 76.24
Humboldt, Ronald Wilson Reagan, Republican, 68.59
Lander, Ronald Wilson Reagan, Republican, 65.61
Lincoln, Ronald Wilson Reagan, Republican, 68.54
Lyon, Ronald Wilson Reagan, Republican, 67.98
Mineral, Ronald Wilson Reagan, Republican, 63.94
Nye, Ronald Wilson Reagan, Republican, 64.17
Pershing, Ronald Wilson Reagan, Republican, 68.41
Storey, Ronald Wilson Reagan, Republican, 58.75
Washoe, Ronald Wilson Reagan, Republican, 63.54
White Pine, Ronald Wilson Reagan, Republican, 54.77
Carson City, Ronald Wilson Reagan, Republican, 66.81
