Baker, Ronald Wilson Reagan, Republican, 59.24
Benton, Ronald Wilson Reagan, Republican, 43.42
Clackamas, Ronald Wilson Reagan, Republican, 49.42
Clatsop, James Earl Carter, Democratic, 43.33
Columbia, James Earl Carter, Democratic, 45.95
Coos, Ronald Wilson Reagan, Republican, 46.28
Crook, Ronald Wilson Reagan, Republican, 53.1
Curry, Ronald Wilson Reagan, Republican, 57.85
Deschutes, Ronald Wilson Reagan, Republican, 52.89
Douglas, Ronald Wilson Reagan, Republican, 58.46
Gilliam, Ronald Wilson Reagan, Republican, 54.56
Grant, Ronald Wilson Reagan, Republican, 60.16
Harney, Ronald Wilson Reagan, Republican, 61.11
Hood River, Ronald Wilson Reagan, Republican, 48.65
Jackson, Ronald Wilson Reagan, Republican, 55.97
Jefferson, Ronald Wilson Reagan, Republican, 53.26
Josephine, Ronald Wilson Reagan, Republican, 63.89
Klamath, Ronald Wilson Reagan, Republican, 62.75
Lake, Ronald Wilson Reagan, Republican, 60.56
Lane, Ronald Wilson Reagan, Republican, 43.59
Lincoln, Ronald Wilson Reagan, Republican, 44.59
Linn, Ronald Wilson Reagan, Republican, 52.19
Malheur, Ronald Wilson Reagan, Republican, 67.8
Marion, Ronald Wilson Reagan, Republican, 49.38
Morrow, Ronald Wilson Reagan, Republican, 55.01
Multnomah, James Earl Carter, Democratic, 46.53
Polk, Ronald Wilson Reagan, Republican, 48.74
Sherman, Ronald Wilson Reagan, Republican, 57.86
Tillamook, James Earl Carter, Democratic, 45.65
Umatilla, Ronald Wilson Reagan, Republican, 57.78
Union, Ronald Wilson Reagan, Republican, 57.79
Wallowa, Ronald Wilson Reagan, Republican, 65.53
Wasco, Ronald Wilson Reagan, Republican, 45.95
Washington, Ronald Wilson Reagan, Republican, 51.34
Wheeler, Ronald Wilson Reagan, Republican, 54.7
Yamhill, Ronald Wilson Reagan, Republican, 51.15
