Barbour, Jimmy Carter , Democratic, 48.7
Berkeley, Ronald Reagan , Republican, 57.04
Boone, Jimmy Carter , Democratic, 62.63
Braxton, Jimmy Carter , Democratic, 59.22
Brooke, Jimmy Carter , Democratic, 54.51
Cabell, Ronald Reagan , Republican, 49.21
Calhoun, Jimmy Carter , Democratic, 49.9
Clay, Jimmy Carter , Democratic, 58.08
Doddridge, Ronald Reagan , Republican, 61.88
Fayette, Jimmy Carter , Democratic, 66.63
Gilmer, Jimmy Carter , Democratic, 53.18
Grant, Ronald Reagan , Republican, 75.19
Greenbrier, Jimmy Carter , Democratic, 50.9
Hampshire, Ronald Reagan , Republican, 51.55
Hancock, Jimmy Carter , Democratic, 53.32
Hardy, Ronald Reagan , Republican, 51.77
Harrison, Jimmy Carter , Democratic, 54.37
Jackson, Ronald Reagan , Republican, 57.09
Jefferson, Jimmy Carter , Democratic, 47.66
Kanawha, Jimmy Carter , Democratic, 46.68
Lewis, Ronald Reagan , Republican, 49.23
Lincoln, Jimmy Carter , Democratic, 56.03
Logan, Jimmy Carter , Democratic, 68.99
Marion, Jimmy Carter , Democratic, 53.6
Marshall, Jimmy Carter , Democratic, 49.21
Mason, Ronald Reagan , Republican, 49.88
McDowell, Jimmy Carter , Democratic, 70.44
Mercer, Ronald Reagan , Republican, 49.61
Mineral, Ronald Reagan , Republican, 54.33
Mingo, Jimmy Carter , Democratic, 70.24
Monongalia, Jimmy Carter , Democratic, 46.3
Monroe, Ronald Reagan , Republican, 49.39
Morgan, Ronald Reagan , Republican, 61.23
Nicholas, Jimmy Carter , Democratic, 55.33
Ohio, Ronald Reagan , Republican, 47.81
Pendleton, Jimmy Carter , Democratic, 49.2
Pleasants, Ronald Reagan , Republican, 53.73
Pocahontas, Jimmy Carter , Democratic, 49.83
Preston, Ronald Reagan , Republican, 54.23
Putnam, Ronald Reagan , Republican, 51.48
Raleigh, Jimmy Carter , Democratic, 58.81
Randolph, Jimmy Carter , Democratic, 54.36
Ritchie, Ronald Reagan , Republican, 65.68
Roane, Ronald Reagan , Republican, 54.07
Summers, Jimmy Carter , Democratic, 53.72
Taylor, Jimmy Carter , Democratic, 49.58
Tucker, Jimmy Carter , Democratic, 48.3
Tyler, Ronald Reagan , Republican, 61.78
Upshur, Ronald Reagan , Republican, 58.66
Wayne, Jimmy Carter , Democratic, 51.96
Webster, Jimmy Carter , Democratic, 64.87
Wetzel, Jimmy Carter , Democratic, 50.34
Wirt, Ronald Reagan , Republican, 51.29
Wood, Ronald Reagan , Republican, 56.54
Wyoming, Jimmy Carter , Democratic, 57.54
