Alachua, Ronald Reagan, Republican, 53.46
Baker
Bay, Ronald Reagan, Republican, 75.77
Bradford
Brevard, Ronald Reagan, Republican, 73.45
Broward, Ronald Reagan, Republican, 56.68
Calhoun, Ronald Reagan, Republican, 65.48
Charlotte, Ronald Reagan, Republican, 70.85
Citrus, Ronald Reagan, Republican, 66.47
Clay
Collier, Ronald Reagan, Republican, 78.75
Columbia
Dade, Ronald Reagan, Republican, 59.17
DeSoto, Ronald Reagan, Republican, 67.64
Dixie
Duval, Ronald Reagan, Republican, 62.41
Escambia, Ronald Reagan, Republican, 71.32
Flagler, Ronald Reagan, Republican, 62.08
Franklin
Gadsden, Walter Mondale, Democrat, 56.03
Gilchrist, Ronald Reagan, Republican, 66.15
Glades
Gulf
Hamilton
Hardee
Hendry
Hernando, Ronald Reagan, Republican, 63.54
Highlands, Ronald Reagan, Republican, 69.53
Hillsborough, Ronald Reagan, Republican, 64.67
Holmes
Indian River
Jackson
Jefferson, Ronald Reagan, Republican, 52.16
Lafayette
Lake, Ronald Reagan, Republican, 74.29
Lee, Ronald Reagan, Republican, 73.89
Leon, Ronald Reagan, Republican, 55
Levy
Liberty
Madison
Manatee, Ronald Reagan, Republican, 72.75
Marion, Ronald Reagan, Republican, 69.97
Martin, Ronald Reagan, Republican, 76.28
Monroe, Ronald Reagan, Republican, 67.73
Nassau, Ronald Reagan, Republican, 69.76
Okaloosa, Ronald Reagan, Republican, 83.51
Okeechobee
Orange, Ronald Reagan, Republican, 71.39
Osceola, Ronald Reagan, Republican, 73.45
Palm Beach, Ronald Reagan, Republican, 61.67
Pasco, Ronald Reagan, Republican, 61.92
Pinellas, Ronald Reagan, Republican, 65.16
Polk, Ronald Reagan, Republican, 70.33
Putnam, Ronald Reagan, Republican, 59.37
St. Johns, Ronald Reagan, Republican, 71.26
St. Lucie, Ronald Reagan, Republican, 68.37
Santa Rosa, Ronald Reagan, Republican, 82.04
Sarasota, Ronald Reagan, Republican, 74.15
Seminole, Ronald Reagan, Republican, 75.91
Sumter, Ronald Reagan, Republican, 64.37
Suwannee
Taylor
Union, Ronald Reagan, Republican, 70.28
Volusia, Ronald Reagan, Republican, 60.93
Wakulla
Walton
Washington, Ronald Reagan, Republican, 70.62
