Adams, Ronald Reagan, Republican, 66.58
Allen, Ronald Reagan, Republican, 65.67
Bartholomew, Ronald Reagan, Republican, 69.35
Benton, Ronald Reagan, Republican, 70.38
Blackford, Ronald Reagan, Republican, 60.79
Boone, Ronald Reagan, Republican, 74.38
Brown, Ronald Reagan, Republican, 56.74
Carroll, Ronald Reagan, Republican, 66.09
Cass, Ronald Reagan, Republican, 68.75
Clark, Ronald Reagan, Republican, 57.48
Clay, Ronald Reagan, Republican, 64.87
Clinton, Ronald Reagan, Republican, 67.12
Crawford, Ronald Reagan, Republican, 53.63
Daviess, Ronald Reagan, Republican, 68.26
Dearborn, Ronald Reagan, Republican, 64.74
Decatur, Ronald Reagan, Republican, 69.97
DeKalb, Ronald Reagan, Republican, 64.82
Delaware, Ronald Reagan, Republican, 59.98
Dubois, Ronald Reagan, Republican, 62.77
Elkhart, Ronald Reagan, Republican, 71.98
Fayette, Ronald Reagan, Republican, 62.95
Floyd, Ronald Reagan, Republican, 58.85
Fountain, Ronald Reagan, Republican, 64.9
Franklin, Ronald Reagan, Republican, 69.62
Fulton, Ronald Reagan, Republican, 70.14
Gibson, Ronald Reagan, Republican, 54.62
Grant, Ronald Reagan, Republican, 66.78
Greene, Ronald Reagan, Republican, 60.71
Hamilton, Ronald Reagan, Republican, 82.3
Hancock, Ronald Reagan, Republican, 73.58
Harrison, Ronald Reagan, Republican, 60.61
Hendricks, Ronald Reagan, Republican, 75.73
Henry, Ronald Reagan, Republican, 62.56
Howard, Ronald Reagan, Republican, 67.74
Huntington, Ronald Reagan, Republican, 69.77
Jackson, Ronald Reagan, Republican, 64.85
Jasper, Ronald Reagan, Republican, 69.22
Jay, Ronald Reagan, Republican, 64.9
Jefferson, Ronald Reagan, Republican, 59.2
Jennings, Ronald Reagan, Republican, 65.48
Johnson, Ronald Reagan, Republican, 74.86
Knox, Ronald Reagan, Republican, 62.27
Kosciusko, Ronald Reagan, Republican, 77.88
LaGrange, Ronald Reagan, Republican, 71.31
Lake, Walter Mondale, Democrat, 55.1
LaPorte, Ronald Reagan, Republican, 59
Lawrence, Ronald Reagan, Republican, 66.71
Madison, Ronald Reagan, Republican, 61.87
Marion, Ronald Reagan, Republican, 58.29
Marshall, Ronald Reagan, Republican, 68.76
Martin, Ronald Reagan, Republican, 63.07
Miami, Ronald Reagan, Republican, 68.75
Monroe, Ronald Reagan, Republican, 59.12
Montgomery, Ronald Reagan, Republican, 74.96
Morgan, Ronald Reagan, Republican, 75.91
Newton, Ronald Reagan, Republican, 68.54
Noble, Ronald Reagan, Republican, 65.74
Ohio, Ronald Reagan, Republican, 58.32
Orange, Ronald Reagan, Republican, 69.4
Owen, Ronald Reagan, Republican, 66.49
Parke, Ronald Reagan, Republican, 69.26
Perry, Ronald Reagan, Republican, 49.91
Pike, Ronald Reagan, Republican, 52.98
Porter, Ronald Reagan, Republican, 64.14
Posey, Ronald Reagan, Republican, 59.07
Pulaski, Ronald Reagan, Republican, 66.93
Putnam, Ronald Reagan, Republican, 69.38
Randolph, Ronald Reagan, Republican, 66.77
Ripley, Ronald Reagan, Republican, 67.99
Rush, Ronald Reagan, Republican, 69.86
Scott, Ronald Reagan, Republican, 54.16
Shelby, Ronald Reagan, Republican, 66.92
Spencer, Ronald Reagan, Republican, 59.07
St. Joseph, Ronald Reagan, Republican, 53.08
Starke, Ronald Reagan, Republican, 57.42
Steuben, Ronald Reagan, Republican, 72.01
Sullivan, Ronald Reagan, Republican, 54.14
Switzerland, Ronald Reagan, Republican, 55.48
Tippecanoe, Ronald Reagan, Republican, 64.75
Tipton, Ronald Reagan, Republican, 70.48
Union, Ronald Reagan, Republican, 70.36
Vanderburgh, Ronald Reagan, Republican, 56.68
Vermillion, Ronald Reagan, Republican, 54.3
Vigo, Ronald Reagan, Republican, 58.39
Wabash, Ronald Reagan, Republican, 70.3
Warren, Ronald Reagan, Republican, 65.38
Warrick, Ronald Reagan, Republican, 61.32
Washington, Ronald Reagan, Republican, 62.62
Wayne, Ronald Reagan, Republican, 64.8
Wells, Ronald Reagan, Republican, 69.4
White, Ronald Reagan, Republican, 69.33
Whitley, Ronald Reagan, Republican, 67.21
