Allegany, Ronald Reagan, Republican, 63.3
Anne Arundel, Ronald Reagan, Republican, 66.04
Baltimore, Ronald Reagan, Republican, 61.31
Baltimore City, Walter Mondale, Democrat, 71.18
Calvert, Ronald Reagan, Republican, 59.99
Caroline, Ronald Reagan, Republican, 68.69
Carroll, Ronald Reagan, Republican, 75.22
Cecil, Ronald Reagan, Republican, 65.93
Charles, Ronald Reagan, Republican, 60.97
Dorchester, Ronald Reagan, Republican, 67.12
Frederick, Ronald Reagan, Republican, 68.67
Garrett, Ronald Reagan, Republican, 74.31
Harford, Ronald Reagan, Republican, 68.41
Howard, Ronald Reagan, Republican, 57.78
Kent, Ronald Reagan, Republican, 61.63
Montgomery, Ronald Reagan, Republican, 50
Prince George's, Walter Mondale, Democrat, 58.59
Queen Anne's, Ronald Reagan, Republican, 69.49
Somerset, Ronald Reagan, Republican, 64.68
St. Mary's, Ronald Reagan, Republican, 63.39
Talbot, Ronald Reagan, Republican, 71.32
Washington, Ronald Reagan, Republican, 66.68
Wicomico, Ronald Reagan, Republican, 66.27
Worcester, Ronald Reagan, Republican, 68.32
