Aitkin, Walter Mondale, Democrat, 53.17
Anoka, Walter Mondale, Democrat, 51.63
Becker, Ronald Reagan, Republican, 57.65
Beltrami, Walter Mondale, Democrat, 49.88
Benton, Ronald Reagan, Republican, 57.48
Big Stone, Walter Mondale, Democrat, 51.83
Blue Earth, Ronald Reagan, Republican, 54.27
Brown, Ronald Reagan, Republican, 64.72
Carlton, Walter Mondale, Democrat, 64.7
Carver, Ronald Reagan, Republican, 63.6
Cass, Ronald Reagan, Republican, 57.71
Chippewa, Ronald Reagan, Republican, 55.95
Chisago, Walter Mondale, Democrat, 51.21
Clay, Ronald Reagan, Republican, 52.62
Clearwater, Ronald Reagan, Republican, 51.33
Cook, Ronald Reagan, Republican, 51.63
Cottonwood, Ronald Reagan, Republican, 57.89
Crow Wing, Ronald Reagan, Republican, 56.16
Dakota, Ronald Reagan, Republican, 52.54
Dodge, Ronald Reagan, Republican, 60.97
Douglas, Ronald Reagan, Republican, 61.92
Faribault, Ronald Reagan, Republican, 58.44
Fillmore, Ronald Reagan, Republican, 58.94
Freeborn, Walter Mondale, Democrat, 52.26
Goodhue, Ronald Reagan, Republican, 55.92
Grant, Ronald Reagan, Republican, 52.84
Hennepin, Walter Mondale, Democrat, 51.47
Houston, Ronald Reagan, Republican, 61.06
Hubbard, Ronald Reagan, Republican, 61.76
Isanti, Ronald Reagan, Republican, 50.91
Itasca, Walter Mondale, Democrat, 54.68
Jackson, Walter Mondale, Democrat, 51.89
Kanabec, Ronald Reagan, Republican, 52.88
Kandiyohi, Ronald Reagan, Republican, 52.69
Kittson, Ronald Reagan, Republican, 51.24
Koochiching, Walter Mondale, Democrat, 54.74
Lac qui Parle, Ronald Reagan, Republican, 49.68
Lake, Walter Mondale, Democrat, 68.43
Lake of the Woods, Ronald Reagan, Republican, 56.39
Le Sueur, Ronald Reagan, Republican, 54.1
Lincoln, Ronald Reagan, Republican, 50.09
Lyon, Ronald Reagan, Republican, 56.64
Mahnomen, Ronald Reagan, Republican, 51.14
Marshall, Ronald Reagan, Republican, 55.31
Martin, Ronald Reagan, Republican, 60.67
McLeod, Ronald Reagan, Republican, 63.58
Meeker, Ronald Reagan, Republican, 56.7
Mille Lacs, Ronald Reagan, Republican, 51.45
Morrison, Ronald Reagan, Republican, 54.44
Mower, Walter Mondale, Democrat, 60.53
Murray, Ronald Reagan, Republican, 49.87
Nicollet, Ronald Reagan, Republican, 55.97
Nobles, Ronald Reagan, Republican, 50.77
Norman, Walter Mondale, Democrat, 50.31
Olmsted, Ronald Reagan, Republican, 62.76
Otter Tail, Ronald Reagan, Republican, 61.3
Pennington, Ronald Reagan, Republican, 54.49
Pine, Walter Mondale, Democrat, 53.41
Pipestone, Ronald Reagan, Republican, 55.32
Polk, Ronald Reagan, Republican, 54.6
Pope, Ronald Reagan, Republican, 52.27
Ramsey, Walter Mondale, Democrat, 59.15
Red Lake, Walter Mondale, Democrat, 51.91
Redwood, Ronald Reagan, Republican, 66.45
Renville, Ronald Reagan, Republican, 57.86
Rice, Walter Mondale, Democrat, 50.55
Rock, Ronald Reagan, Republican, 57.18
Roseau, Ronald Reagan, Republican, 59.28
Saint Louis, Walter Mondale, Democrat, 68.83
Scott, Ronald Reagan, Republican, 56.81
Sherburne, Ronald Reagan, Republican, 55.43
Sibley, Ronald Reagan, Republican, 62.1
Stearns, Ronald Reagan, Republican, 58.51
Steele, Ronald Reagan, Republican, 63.12
Stevens, Ronald Reagan, Republican, 56.58
Swift, Walter Mondale, Democrat, 54.42
Todd, Ronald Reagan, Republican, 58.25
Traverse, Ronald Reagan, Republican, 51
Wabasha, Ronald Reagan, Republican, 57.31
Wadena, Ronald Reagan, Republican, 63.4
Waseca, Ronald Reagan, Republican, 60.6
Washington, Ronald Reagan, Republican, 50.13
Watonwan, Ronald Reagan, Republican, 58.98
Wilkin, Ronald Reagan, Republican, 62.36
Winona, Ronald Reagan, Republican, 55.03
Wright, Ronald Reagan, Republican, 54.82
Yellow Medicine, Ronald Reagan, Republican, 55.22
