Adams, undefined, County, -1
Barnes, undefined, County, -1
Benson, undefined, County, -1
Billings, undefined, County, -1
Bottineau, undefined, County, -1
Bowman, undefined, County, -1
Burke, undefined, County, -1
Burleigh, undefined, County, -1
Cass, undefined, County, -1
Cavalier, undefined, County, -1
Dickey, undefined, County, -1
Divide, undefined, County, -1
Dunn, undefined, County, -1
Eddy, undefined, County, -1
Emmons, undefined, County, -1
Foster, undefined, County, -1
Golden Valley, undefined, County, -1
Grand Forks, undefined, County, -1
Grant, undefined, County, -1
Griggs, undefined, County, -1
Hettinger, undefined, County, -1
Kidder, undefined, County, -1
LaMoure, undefined, County, -1
Logan, undefined, County, -1
McHenry, undefined, County, -1
McIntosh, undefined, County, -1
McKenzie, undefined, County, -1
McLean, undefined, County, -1
Mercer, undefined, County, -1
Morton, undefined, County, -1
Mountrail, undefined, County, -1
Nelson, undefined, County, -1
Oliver, undefined, County, -1
Pembina, undefined, County, -1
Pierce, undefined, County, -1
Ramsey, undefined, County, -1
Ransom, undefined, County, -1
Renville, undefined, County, -1
Richland, undefined, County, -1
Rolette, undefined, County, -1
Sargent, undefined, County, -1
Sheridan, undefined, County, -1
Sioux, undefined, County, -1
Slope, undefined, County, -1
Stark, undefined, County, -1
Steele, undefined, County, -1
Stutsman, undefined, County, -1
Towner, undefined, County, -1
Traill, undefined, County, -1
Walsh, undefined, County, -1
Ward, undefined, County, -1
Wells, undefined, County, -1
